國立政治大學 
通識部分 
自然核 
全民國防 謝瀞如   五CD 排4上
全民國防 謝瀞如   五34 排6沒上
資訊領域 
程式設計概論 江玥慧   四678 排5上
程式設計概論 江玥慧   五678 排5上
程式設計概論 江玥慧   一678 排3上
體育部分 
羽球 
羽球初級(男女) 陳志威   二78 排1沒上
羽球初級(男女) 陳志威   三34 排1上
羽球初級(男) 黃郁琦   五12 排2上
羽球初級(女) 方明營   二34 排1上
羽球初級(女) 方明營   二12 排4不一定上
羽球初級(女) 楊瑞珠   四34 排5沒上
羽球初級(女) 楊瑞珠   二56 排4上
羽球初級(男女)楊瑞珠   二12 二階未滿
羽球中級(男) 陳志威   四12 排6上
桌球 
桌球初級(男女) 謝明輝   一56 排2上
桌球初級(男女) 謝明輝   二34 排2沒上
桌球初級(男女) 謝明輝   一78 排1沒上
桌球初級(男女)謝明輝   四12 排3上
桌球初級(男女) 朱昌勇   三78 排2沒上
桌球初級(男) 朱昌勇   三56 排2上
桌球初級(女)朱昌勇   四56 排4沒上
桌球初級 (女)朱昌勇   五56 排2有上
網球 
網球初級(男女) 張凱隆   一56 排5上
網球初級(男女) 張凱隆   二56 排5上
網球初級(女) 湯善森   三78 排4上
網球初級(男女) 杜錦豊   五56 排1上
體適能 
體適能(女) 林文乙   四12 排1上
體適能(女) 林文乙   五12 排1不一定上(1位上 2位沒上)
體適能(女) 林文乙   三12 排2沒上(2位)
健康體適能(男女) 陳志威   二34 排1上
健康體適能(男女) 林貴彬   四34 排1上
健康體適能(男女) 林貴彬   四34 排2沒上
壘球 
慢速壘球初級(男女) 王清欉   四34 二階未滿
慢速壘球初級(男女) 王清欉   三34 排7上
籃球 
籃球中級(男女) 陳子威   五78 排3上
籃球初級（女）葉良志   三78 排7上
籃球初級(男) 葉良志   四78 排5沒上
籃球初級(男) 葉良志   四56 排4上
足球 
足球初級(男女) 林貴彬   三78 排3上
足球初級(男女)林培元   五56 排5上
排球 
排球初級(男女) 吳高讚   一78 排2沒上
排球初級(女) 嚴雅婷   一56 排3上
健走 
健走(男女) 張凱隆   三56 排2沒上(2位)
定向越野 定向越野(男女) 莊珮琪   二34 排1上
定向越野(男女) 莊珮琪   二56 排1沒上
舞蹈類 
現代舞(男女) 曾明生   五34 排3上
國際標準舞初級(男女) 王學富   二78 排2上
瑜珈 
瑜珈初級(男女) 賴芳貞   四34 排1上
重訓 
重量訓練(女) 陳子威   四34 排1不一定上
游泳 
游泳初級（捷泳）(女) 王思宜   四34 排6上
有氧耐力 
有氧耐力(女) 王思宜   二34 排2上(2位)
有氧耐力(女) 王思宜   二34 排3沒上
有氧耐力（女）王思宜   三56 排2上
有氧耐力（女）王思宜   三56 排5沒上
橄欖球 
橄欖球初級 林文乙   五34 排3上
彼拉提斯 
彼拉提斯 呂潔如   三34 排1不一定上
拳擊 
拳擊 畢經隆   三12 排3上
專業部分 
會計系 初級會計一 翁嘉祥   四D56 排1上
韓文系 韓國近代史 朱立熙   三78 排4沒上
日文系 日語會話 葉寶珠   三D5 排5上
日語會話 詹兆雯   三56 排2上
法律系 刑法（一） 陳志輝   三234 排5上
財政系 微積分 吳文傑   四D56 排1沒上
哲學系 形上學 謝昭銳   四D56 排7上
統計系 統計學 翁久幸   二234 排1沒上
